Games,Playtime (Hours.Minutes),Priority?,Played:,Beaten?,Replayable?,Multiplayer?
Final Fantasy 7 Remake,32.5,TRUE,FALSE,FALSE,FALSE,FALSE
Final Fantasy X-X2,75.5,FALSE,FALSE,FALSE,FALSE,FALSE
Finding Paradise,5,TRUE,FALSE,FALSE,FALSE,FALSE
Fire Watch,4,TRUE,TRUE,FALSE,TRUE,FALSE
Forza Horizon 4,14.5,FALSE,TRUE,FALSE,TRUE,TRUE
Gang Beasts,5,FALSE,FALSE,FALSE,FALSE,TRUE
garry's mod,N/A,FALSE,TRUE,FALSE,TRUE,TRUE
Getting over it,6,FALSE,TRUE,FALSE,FALSE,FALSE
Ghost Recon: Wildlands,27,FALSE,FALSE,FALSE,TRUE,TRUE
Ghost Trick,12,TRUE,FALSE,FALSE,FALSE,FALSE
Grand Theft Auto 4,27,FALSE,FALSE,FALSE,FALSE,FALSE
Grand Theft Auto 5,32,FALSE,FALSE,FALSE,FALSE,TRUE
Granny Sim,N/A,FALSE,TRUE,FALSE,TRUE,TRUE
Half Life,12,TRUE,FALSE,FALSE,FALSE,FALSE
Half Life: 2,12,FALSE,FALSE,FALSE,FALSE,TRUE
Halo Infinite,11.5,FALSE,FALSE,FALSE,FALSE,TRUE
Halo: MCC,58.5,TRUE,TRUE,FALSE,TRUE,TRUE
Heroes of Might and Magic 3,56,FALSE,FALSE,FALSE,FALSE,TRUE
Heroes of Might and Magic 5,52,FALSE,FALSE,FALSE,FALSE,TRUE
Hi-Fi Rush,11,TRUE,FALSE,FALSE,FALSE,FALSE
Hitman 2,10,FALSE,TRUE,FALSE,FALSE,FALSE
Hogwarts Legacy,26.5,FALSE,FALSE,FALSE,FALSE,FALSE
Hollow Knight,27,FALSE,TRUE,TRUE,TRUE,FALSE
Horizon Forbidden West,28.5,FALSE,FALSE,FALSE,FALSE,FALSE
Horizon Zero Dawn,29.5,TRUE,TRUE,FALSE,FALSE,FALSE
Human Fall Flat,6,FALSE,TRUE,TRUE,FALSE,TRUE
Icewind Dale,30.5,FALSE,FALSE,FALSE,FALSE,FALSE
Impostor Factory,4,TRUE,FALSE,FALSE,FALSE,FALSE
Inscryption,12.5,FALSE,FALSE,FALSE,FALSE,FALSE
Jet Set Radio,7,FALSE,FALSE,FALSE,FALSE,FALSE
Just Cause,8.5,FALSE,FALSE,FALSE,FALSE,FALSE
Just Cause 2,17.5,FALSE,FALSE,FALSE,FALSE,FALSE
Just Cause 3,18.5,TRUE,TRUE,FALSE,TRUE,FALSE
King of the Castle,N/A,FALSE,FALSE,FALSE,FALSE,FALSE
Kingdom Come: Deliverance,41.5,FALSE,FALSE,FALSE,FALSE,FALSE
King's Bounty 2,27.5,FALSE,FALSE,FALSE,FALSE,FALSE
Knight's of Honor 2,9,FALSE,FALSE,FALSE,FALSE,FALSE
L.A. Noire,22,FALSE,FALSE,FALSE,FALSE,FALSE
Later Alligator,2.5,TRUE,FALSE,FALSE,FALSE,FALSE
Left 4 Dead,7,FALSE,FALSE,FALSE,FALSE,FALSE
Left 4 Dead 2,10,FALSE,FALSE,FALSE,FALSE,FALSE
Lego 2KDRIVE,7,FALSE,FALSE,FALSE,FALSE,FALSE
Little Nightmares,3.5,FALSE,FALSE,FALSE,FALSE,FALSE
Loddlenaut,3.5,FALSE,FALSE,FALSE,FALSE,FALSE
Lords of the Realm 2,28.5,FALSE,FALSE,FALSE,FALSE,FALSE
Lords of the Realm 3,,FALSE,FALSE,FALSE,FALSE,FALSE
Lords of Xulima,47.5,FALSE,FALSE,FALSE,FALSE,FALSE
Mass Effect: Legendary Edition,108,FALSE,FALSE,FALSE,FALSE,FALSE
Mediteranea Inferno,2.5,FALSE,FALSE,FALSE,FALSE,FALSE
Metal Gear Rising REVENGEANCE,7,TRUE,TRUE,FALSE,FALSE,FALSE
Metal Gear Solid  ,11.5,FALSE,FALSE,FALSE,FALSE,FALSE
Metal Gear Solid 2,13,FALSE,FALSE,FALSE,FALSE,FALSE
Metal Gear Solid 3,16,FALSE,FALSE,FALSE,FALSE,FALSE
Metal Gear Solid 5,45.5,FALSE,FALSE,FALSE,FALSE,FALSE
Metro 2033,9,FALSE,FALSE,FALSE,FALSE,FALSE
Metro Last Light,10,FALSE,FALSE,FALSE,FALSE,FALSE
Miasma Chronicles,21.5,FALSE,FALSE,FALSE,FALSE,FALSE
